review,rating,date,bank,source,sentiment_label,sentiment_score
why the app telling me to turn of developer options please fix it.,1,2025-05-07,CBE,Google Play,positive,0.3182
i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,5,2025-05-07,CBE,Google Play,positive,0.6115
amazing apps,5,2025-05-06,CBE,Google Play,positive,0.5859
All service of Mobile Banking,5,2025-05-06,CBE,Google Play,neutral,0.0
needs improvement,1,2025-05-06,CBE,Google Play,positive,0.4588
i miss the old one i couldn't send my mony to other bank..,1,2025-05-06,CBE,Google Play,negative,-0.1531
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,2,2025-05-06,CBE,Google Play,positive,0.9348
good but these week not oky,4,2025-05-06,CBE,Google Play,positive,0.2382
well designed! Fixing bugs & two step verification with biometric... simply it's great!,5,2025-05-06,CBE,Google Play,positive,0.7772
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,2025-05-05,CBE,Google Play,positive,0.5307
"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",5,2025-05-05,CBE,Google Play,positive,0.765
CBE mobilr bankg,5,2025-05-05,CBE,Google Play,neutral,0.0
verygood,3,2025-05-05,CBE,Google Play,neutral,0.0
ممتاز جدا,5,2025-05-04,CBE,Google Play,neutral,0.0
it's very low quality application,1,2025-05-04,CBE,Google Play,negative,-0.3384
Very Amazing Apps,5,2025-05-04,CBE,Google Play,positive,0.624
አዛ,1,2025-05-04,CBE,Google Play,neutral,0.0
wow simple life,5,2025-05-04,CBE,Google Play,positive,0.5859
it's nice,5,2025-05-03,CBE,Google Play,positive,0.4215
Why stacked sometimes,5,2025-05-03,CBE,Google Play,neutral,0.0
okay 👍 but sometimes busy,1,2025-05-03,CBE,Google Play,positive,0.1154
the worst commercial company that fails to do even the most normal things again and and again.,1,2025-05-03,CBE,Google Play,negative,-0.7845
Very good app. but disappointed by general cessation of system.,5,2025-05-02,CBE,Google Play,negative,-0.4684
Good and fast,5,2025-05-02,CBE,Google Play,positive,0.4404
Unreliable!,1,2025-05-02,CBE,Google Play,neutral,0.0
