review,rating,date,bank,source
Select from Sending account option not working when trying to send to other banks,2,2024-09-08 05:44:20,Dashen,Google Play
It's not working,1,2024-09-08 03:31:31,Dashen,Google Play
nice App,5,2024-09-07 17:11:20,Dashen,Google Play
የአንደኛ ቀዳሚ ምርጫችን ዳሽን ባንክ ሁልጊዜ አንድ እርምጃ ቀዳሚ። የአሞሌ አስጠቃሚ።,5,2024-09-03 09:42:47,Dashen,Google Play
best app,5,2024-08-29 22:31:51,Dashen,Google Play
በጠም ውደድኩት ስህተት ከለው በጠም መዝገቱ ደስ ብሎኛል,5,2024-08-24 23:53:37,Dashen,Google Play
🔥,4,2024-08-24 18:23:08,Dashen,Google Play
"Although the application is good, but, it is difficult to get out. The app does not work to get out with the back cursor . Fix it quickly.",1,2024-08-22 18:47:00,Dashen,Google Play
Go,3,2024-08-21 17:52:56,Dashen,Google Play
"I like thise app it is smart app,but when i make one mistake it will automatically block",5,2024-08-15 14:39:56,Dashen,Google Play
Nice,5,2024-08-14 14:52:58,Dashen,Google Play
Suaud,5,2024-08-05 15:08:34,Dashen,Google Play
Ok,5,2024-08-03 14:33:54,Dashen,Google Play
wenderfull,5,2024-08-03 12:19:05,Dashen,Google Play
Nice app in Ethiopia,5,2024-08-01 21:58:57,Dashen,Google Play
Nice,5,2024-07-30 03:40:31,Dashen,Google Play
simply the best,5,2024-07-26 16:00:19,Dashen,Google Play
Very nice mob app,3,2024-07-26 06:15:16,Dashen,Google Play
nice,5,2024-07-24 13:50:44,Dashen,Google Play
Good,5,2024-07-09 12:03:10,Dashen,Google Play
Best,5,2024-07-02 14:47:01,Dashen,Google Play
"I hate this app stack and blackscreen not open as required ,normaly i resigned my job do to this app b/c our salary are depoite by dashen bank",1,2024-06-28 18:40:05,Dashen,Google Play
Wow Very Nice App,5,2024-06-22 13:18:38,Dashen,Google Play
Telebirr agent deposit is not working until now. Please fix it. Fix it fast.,5,2024-06-19 09:54:54,Dashen,Google Play
Very good,5,2024-06-16 13:26:17,Dashen,Google Play
The developers have incorporated biometric login which has made the app very convenient and user friendly. I will now increase my rating as promised,5,2024-06-15 06:49:30,Dashen,Google Play
Memekaye miliyoon girmaa,3,2024-06-14 12:55:58,Dashen,Google Play
This app is 🤩,5,2024-06-12 21:23:02,Dashen,Google Play
Be adjusted this app is not available anytime,5,2024-06-11 10:03:43,Dashen,Google Play
Super app,5,2024-06-10 17:26:02,Dashen,Google Play
"Very poor app! It locked my out without any reason, does not have any conformation or screenshots . And delay when opening of the app. It is just time wasting.",1,2024-06-09 12:59:29,Dashen,Google Play
Best app....,5,2024-06-06 11:02:51,Dashen,Google Play
wow amole,4,2024-06-03 12:05:08,Dashen,Google Play
We,1,2024-06-01 18:34:02,Dashen,Google Play
Best,5,2024-06-01 15:54:23,Dashen,Google Play
Tye app is mostly good but you should make it be able to save usernames instead of typing every time i want to login,4,2024-05-31 13:42:32,Dashen,Google Play
"It's good enough. But, there is slowing in beginning of the App....",5,2024-05-24 19:13:48,Dashen,Google Play
"Good for safety,take long way though",5,2024-05-22 22:55:34,Dashen,Google Play
😘,5,2024-05-20 19:23:39,Dashen,Google Play
Bad app that not helping me the is not login,1,2024-05-18 11:14:50,Dashen,Google Play
Good,4,2024-05-15 00:33:06,Dashen,Google Play
Best after removal of screelock password,5,2024-05-13 11:30:27,Dashen,Google Play
"I really don't get how this is the lite version and it is bigger than the og app, ah well it is what it is ig ¯⁠\⁠_😂_⁠/⁠¯",5,2024-05-10 22:04:18,Dashen,Google Play
"Dashen Bank is the gold standard of banking in Ethiopia! The mobile app makes banking convenient and efficient. Plus, the branch services is top-notch, with staff always ready to assist with a smile.",5,2024-05-10 11:53:58,Dashen,Google Play
ማይ,1,2024-05-09 19:04:11,Dashen,Google Play
Doesn't work most of the time,1,2024-05-09 09:52:43,Dashen,Google Play
that is awesome,5,2024-05-01 13:59:02,Dashen,Google Play
"It's so boring.... I don't wanna say this but this app so tough to take action. It's take long time and also it's conditional mostly it's not available, in 1 day it's work for 1 or 2 hour .... this bank so huge but de app it's not enough to define your exellence",1,2024-04-30 21:50:45,Dashen,Google Play
We,5,2024-04-28 18:06:08,Dashen,Google Play
Jafare has fyguhfiwudgg,5,2024-04-25 16:35:59,Dashen,Google Play
it's fine,5,2024-04-20 17:02:50,Dashen,Google Play
This app is very good Nice app people please use this app 😃☺️☺️,5,2024-04-20 08:24:54,Dashen,Google Play
Nice,5,2024-04-18 20:15:52,Dashen,Google Play
Wow amazing platform 🙏,5,2024-04-17 08:34:18,Dashen,Google Play
"I tried to log in twice and locked me out. I tried to email them, but no one responded 🙃 please respond to our email back",1,2024-04-12 05:45:42,Dashen,Google Play
Why dont update,5,2024-04-06 19:57:29,Dashen,Google Play
Good app,5,2024-04-06 01:56:17,Dashen,Google Play
Best,5,2024-04-01 22:46:41,Dashen,Google Play
Nice,4,2024-03-31 17:37:42,Dashen,Google Play
This app is so good and its an interesting,3,2024-03-29 11:18:49,Dashen,Google Play
The best easy banking app ever @ Ethiopia,5,2024-03-26 21:59:26,Dashen,Google Play
Amole lite wow its more easy for use and more secured. I really its one step a head,5,2024-03-25 19:01:01,Dashen,Google Play
Excellent and Easy to use.,5,2024-03-25 16:46:46,Dashen,Google Play
wow,5,2024-03-24 18:38:15,Dashen,Google Play
it's good app I'm using it right now but after it have installed doesn't work fastly and again goes to update..plc fix the problem..,3,2024-03-23 18:40:19,Dashen,Google Play
Very nice,5,2024-03-22 20:42:15,Dashen,Google Play
